position_timestamp,position,force_timestamp,force
68593002,0.0,68593055,-50.20981216430664
68593503,0.0,68593055,-50.20981216430664
68594004,0.0,68593055,-50.20981216430664
68594505,0.0,68593055,-50.20981216430664
68595008,0.017500000074505806,68593055,-50.20981216430664
68595509,0.04749999940395355,68593055,-50.20981216430664
68596010,0.06499999761581421,68593055,-50.20981216430664
68596511,0.02499999850988388,68593055,-50.20981216430664
68597012,-0.04749999940395355,68597064,-50.218360900878906
68597513,-0.08500000089406967,68597064,-50.218360900878906
68598014,-0.07249999791383743,68597064,-50.218360900878906
68598515,-0.042500000447034836,68597064,-50.218360900878906
68599018,-0.029999999329447746,68597064,-50.218360900878906
68599519,-0.029999999329447746,68597064,-50.218360900878906
68600020,-0.014999999664723873,68597064,-50.218360900878906
68600521,0.044999998062849045,68597064,-50.218360900878906
68601022,0.11249999701976776,68597064,-50.218360900878906
68601523,0.16499999165534973,68597064,-50.218360900878906
68602024,0.19499999284744263,68597064,-50.218360900878906
68602525,0.20250000059604645,68597064,-50.218360900878906
68603026,0.20250000059604645,68597064,-50.218360900878906
68603527,0.19999998807907104,68597064,-50.218360900878906
68604028,0.20749999582767487,68597064,-50.218360900878906
68604531,0.23749999701976776,68597064,-50.218360900878906
68605032,0.2849999964237213,68597064,-50.218360900878906
68605533,0.367499977350235,68597064,-50.218360900878906
68606034,0.4449999928474426,68597064,-50.218360900878906
68606535,0.48499998450279236,68597064,-50.218360900878906
68607036,0.48499998450279236,68597064,-50.218360900878906
68607537,0.45749998092651367,68597064,-50.218360900878906
68608038,0.4449999928474426,68597064,-50.218360900878906
68608539,0.45249998569488525,68608591,-51.28594970703125
68609040,0.4724999964237213,68608591,-51.28594970703125
68609541,0.5149999856948853,68608591,-51.28594970703125
68610042,0.5849999785423279,68608591,-51.28594970703125
68610545,0.6974999904632568,68608591,-51.28594970703125
68611046,0.7924999594688416,68608591,-51.28594970703125
68611547,0.8499999642372131,68608591,-51.28594970703125
68612048,0.887499988079071,68608591,-51.28594970703125
68612549,0.9149999618530273,68608591,-51.28594970703125
68613050,0.9325000047683716,68608591,-51.28594970703125
68613551,0.9399999976158142,68608591,-51.28594970703125
68614052,0.9399999976158142,68608591,-51.28594970703125
68614553,0.9375,68608591,-51.28594970703125
68615054,0.9350000023841858,68608591,-51.28594970703125
68615555,0.9424999952316284,68608591,-51.28594970703125
68616058,0.9774999618530273,68608591,-51.28594970703125
68616559,1.0475000143051147,68608591,-51.28594970703125
68617060,1.1174999475479126,68608591,-51.28594970703125
68617561,1.1799999475479126,68608591,-51.28594970703125
68618062,1.2200000286102295,68608591,-51.28594970703125
68618563,1.25,68608591,-51.28594970703125
68619064,1.287500023841858,68608591,-51.28594970703125
68619565,1.350000023841858,68608591,-51.28594970703125
68620066,1.40749990940094,68620118,-53.329261779785156
68620567,1.462499976158142,68620118,-53.329261779785156
68621068,1.5149999856948853,68620118,-53.329261779785156
68621569,1.5899999141693115,68620118,-53.329261779785156
68622072,1.712499976158142,68620118,-53.329261779785156
68622573,1.8249999284744263,68620118,-53.329261779785156
68623074,1.9674999713897705,68620118,-53.329261779785156
68623575,2.0850000381469727,68620118,-53.329261779785156
68624076,2.177500009536743,68620118,-53.329261779785156
68624577,2.317499876022339,68620118,-53.329261779785156
68625078,2.4649999141693115,68620118,-53.329261779785156
68625579,2.637500047683716,68620118,-53.329261779785156
68626080,2.759999990463257,68620118,-53.329261779785156
68626581,2.8949999809265137,68620118,-53.329261779785156
68627082,3.069999933242798,68620118,-53.329261779785156
68627583,3.2825000286102295,68620118,-53.329261779785156
68628084,3.442499876022339,68620118,-53.329261779785156
68628585,3.6524999141693115,68620118,-53.329261779785156
68629086,3.882499933242798,68620118,-53.329261779785156
68629589,4.047500133514404,68620118,-53.329261779785156
68630090,4.217499732971191,68620118,-53.329261779785156
68630591,4.380000114440918,68620118,-53.329261779785156
68631092,4.534999847412109,68620118,-53.329261779785156
68631593,4.625,68620118,-53.329261779785156
68632094,4.664999961853027,68632146,-51.148651123046875
68632595,4.684999942779541,68632146,-51.148651123046875
68633096,4.702499866485596,68632146,-51.148651123046875
68633597,4.737499713897705,68632146,-51.148651123046875
68634101,4.807499885559082,68632146,-51.148651123046875
68634601,4.924999713897705,68632146,-51.148651123046875
68635102,5.029999732971191,68632146,-51.148651123046875
68635603,5.134999752044678,68632146,-51.148651123046875
68636104,5.214999675750732,68632146,-51.148651123046875
68636605,5.255000114440918,68632146,-51.148651123046875
68637106,5.267499923706055,68632146,-51.148651123046875
68637607,5.239999771118164,68632146,-51.148651123046875
68638108,5.197499752044678,68632146,-51.148651123046875
68638609,5.184999942779541,68632146,-51.148651123046875
68639110,5.162499904632568,68632146,-51.148651123046875
68639613,5.099999904632568,68632146,-51.148651123046875
68640114,5.014999866485596,68632146,-51.148651123046875
68640615,4.904999732971191,68632146,-51.148651123046875
68641116,4.78249979019165,68632146,-51.148651123046875
68641617,4.699999809265137,68632146,-51.148651123046875
68642118,4.625,68632146,-51.148651123046875
68642619,4.537499904632568,68632146,-51.148651123046875
68643120,4.464999675750732,68632146,-51.148651123046875
68643621,4.40749979019165,68643673,-50.239723205566406
68644122,4.335000038146973,68643673,-50.239723205566406
68644623,4.21999979019165,68643673,-50.239723205566406
68645124,4.107500076293945,68643673,-50.239723205566406
68645627,4.025000095367432,68643673,-50.239723205566406
68646128,3.9149999618530273,68643673,-50.239723205566406
68646629,3.7874999046325684,68643673,-50.239723205566406
68647130,3.682499885559082,68643673,-50.239723205566406
68647631,3.567499876022339,68643673,-50.239723205566406
