position_timestamp,position,force_timestamp,force
50800002,-0.0024999999441206455,50800055,-49.98109436035156
50800503,-0.0024999999441206455,50800055,-49.98109436035156
50801004,-0.0024999999441206455,50800055,-49.98109436035156
50801505,-0.0024999999441206455,50800055,-49.98109436035156
50802008,0.009999999776482582,50802060,-50.03428268432617
50802509,0.022499999031424522,50802060,-50.03428268432617
50803010,0.017500000074505806,50802060,-50.03428268432617
50803511,-0.019999999552965164,50802060,-50.03428268432617
50804014,-0.057499997317790985,50802060,-50.03428268432617
50804515,-0.06499999761581421,50802060,-50.03428268432617
50805016,-0.04999999701976776,50802060,-50.03428268432617
50805517,-0.03749999776482582,50802060,-50.03428268432617
50806018,-0.03749999776482582,50802060,-50.03428268432617
50806519,-0.03999999910593033,50802060,-50.03428268432617
50807020,-0.014999999664723873,50802060,-50.03428268432617
50807521,0.02499999850988388,50802060,-50.03428268432617
50808022,0.042500000447034836,50802060,-50.03428268432617
50808523,0.03500000014901161,50802060,-50.03428268432617
50809024,0.009999999776482582,50802060,-50.03428268432617
50809528,0.0,50802060,-50.03428268432617
50810029,0.022499999031424522,50802060,-50.03428268432617
50810530,0.0625,50802060,-50.03428268432617
50811031,0.09999999403953552,50802060,-50.03428268432617
50811532,0.125,50802060,-50.03428268432617
50812033,0.13750000298023224,50802060,-50.03428268432617
50812534,0.14749999344348907,50802060,-50.03428268432617
50813035,0.1550000011920929,50802060,-50.03428268432617
50813536,0.1550000011920929,50802060,-50.03428268432617
50814037,0.14499999582767487,50814089,-50.35824966430664
50814538,0.13249999284744263,50814089,-50.35824966430664
50815039,0.12999999523162842,50814089,-50.35824966430664
50815540,0.13499999046325684,50814089,-50.35824966430664
50816044,0.14749999344348907,50814089,-50.35824966430664
50816544,0.1574999988079071,50814089,-50.35824966430664
50817045,0.16249999403953552,50814089,-50.35824966430664
50817546,0.16749998927116394,50814089,-50.35824966430664
50818047,0.17000000178813934,50814089,-50.35824966430664
50818548,0.17499999701976776,50814089,-50.35824966430664
50819049,0.17749999463558197,50814089,-50.35824966430664
50819550,0.1850000023841858,50814089,-50.35824966430664
50820051,0.19999998807907104,50814089,-50.35824966430664
50820552,0.22499999403953552,50814089,-50.35824966430664
50821053,0.2549999952316284,50814089,-50.35824966430664
50821556,0.29499998688697815,50814089,-50.35824966430664
50822057,0.3449999988079071,50814089,-50.35824966430664
50822558,0.38499999046325684,50814089,-50.35824966430664
50823059,0.42249998450279236,50814089,-50.35824966430664
50823560,0.4624999761581421,50814089,-50.35824966430664
50824061,0.5074999928474426,50814089,-50.35824966430664
50824562,0.5625,50814089,-50.35824966430664
50825063,0.625,50814089,-50.35824966430664
50825564,0.6949999928474426,50825616,-51.09288024902344
50826065,0.75,50825616,-51.09288024902344
50826566,0.7999999523162842,50825616,-51.09288024902344
50827067,0.8474999666213989,50825616,-51.09288024902344
50827571,0.9074999690055847,50825616,-51.09288024902344
50828071,0.9950000047683716,50825616,-51.09288024902344
50828572,1.0699999332427979,50825616,-51.09288024902344
50829073,1.125,50825616,-51.09288024902344
50829574,1.1675000190734863,50825616,-51.09288024902344
50830075,1.1899999380111694,50825616,-51.09288024902344
50830576,1.1949999332427979,50825616,-51.09288024902344
50831077,1.1749999523162842,50825616,-51.09288024902344
50831578,1.1399999856948853,50825616,-51.09288024902344
50832079,1.0950000286102295,50825616,-51.09288024902344
50832580,1.0399999618530273,50825616,-51.09288024902344
50833084,0.9749999642372131,50825616,-51.09288024902344
50833584,0.9199999570846558,50825616,-51.09288024902344
50834085,0.8799999952316284,50825616,-51.09288024902344
50834586,0.8424999713897705,50825616,-51.09288024902344
50835087,0.7999999523162842,50825616,-51.09288024902344
50835588,0.7299999594688416,50825616,-51.09288024902344
50836089,0.5899999737739563,50825616,-51.09288024902344
50836590,0.45499998331069946,50825616,-51.09288024902344
50837091,0.3149999976158142,50837143,-50.75699234008789
50837592,0.2175000011920929,50837143,-50.75699234008789
50838093,0.14249999821186066,50837143,-50.75699234008789
50838594,0.04999999701976776,50837143,-50.75699234008789
50839097,-0.05249999836087227,50837143,-50.75699234008789
50839598,-0.08249999582767487,50837143,-50.75699234008789
50840099,-0.07249999791383743,50837143,-50.75699234008789
50840600,-0.06749999523162842,50837143,-50.75699234008789
50841101,-0.06749999523162842,50837143,-50.75699234008789
50841602,-0.06749999523162842,50837143,-50.75699234008789
50842103,-0.05999999865889549,50837143,-50.75699234008789
50842604,-0.05999999865889549,50837143,-50.75699234008789
50843105,-0.05999999865889549,50837143,-50.75699234008789
50843606,-0.05999999865889549,50837143,-50.75699234008789
50844107,-0.04999999701976776,50837143,-50.75699234008789
50844610,-0.03999999910593033,50837143,-50.75699234008789
50845111,-0.032499998807907104,50837143,-50.75699234008789
50845612,-0.029999999329447746,50837143,-50.75699234008789
50846113,-0.03500000014901161,50837143,-50.75699234008789
50846614,-0.03749999776482582,50837143,-50.75699234008789
50847115,-0.03999999910593033,50837143,-50.75699234008789
50847616,-0.03749999776482582,50837143,-50.75699234008789
50848117,-0.03999999910593033,50837143,-50.75699234008789
50848618,-0.042500000447034836,50848670,-49.31764602661133
50849119,-0.044999998062849045,50848670,-49.31764602661133
50849620,-0.04749999940395355,50848670,-49.31764602661133
50850121,-0.04749999940395355,50848670,-49.31764602661133
50850624,-0.04749999940395355,50848670,-49.31764602661133
50851125,-0.044999998062849045,50848670,-49.31764602661133
50851626,-0.042500000447034836,50848670,-49.31764602661133
50852127,-0.03500000014901161,50848670,-49.31764602661133
50852628,-0.032499998807907104,50848670,-49.31764602661133
